               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,             0.01438,           0.0027351,                   0,             0.99083,             0.99692,             0.99494,             0.81254,            0.015013,           0.0024317,                   0,           0.0066671,           0.0066671,           0.0066671
                 136,            0.014488,           0.0026486,                   0,             0.99083,             0.99692,             0.99491,             0.81334,            0.014827,            0.002426,                   0,           0.0066257,           0.0066257,           0.0066257
                 137,            0.014284,           0.0028066,                   0,             0.99691,             0.99379,             0.99497,              0.8143,            0.014857,           0.0024225,                   0,           0.0065843,           0.0065843,           0.0065843
                 138,            0.014247,           0.0026603,                   0,             0.99622,             0.99385,             0.99497,             0.81488,            0.014858,           0.0024024,                   0,           0.0065429,           0.0065429,           0.0065429
                 139,            0.014186,           0.0026972,                   0,             0.99083,             0.99692,             0.99494,             0.81122,            0.014819,           0.0024247,                   0,           0.0065013,           0.0065013,           0.0065013
                 140,             0.01397,           0.0026969,                   0,             0.99082,             0.99692,             0.99497,             0.80722,            0.015026,           0.0024592,                   0,           0.0064597,           0.0064597,           0.0064597
                 141,            0.014048,           0.0026638,                   0,             0.99082,             0.99692,             0.99491,             0.81304,            0.014941,           0.0024377,                   0,           0.0064181,           0.0064181,           0.0064181
                 142,            0.013924,            0.002646,                   0,             0.99082,             0.99692,             0.99475,             0.81219,             0.01485,           0.0024129,                   0,           0.0063764,           0.0063764,           0.0063764
                 143,            0.013859,           0.0027056,                   0,             0.99083,             0.99692,             0.99475,              0.8196,            0.014558,           0.0023831,                   0,           0.0063347,           0.0063347,           0.0063347
                 144,            0.014142,           0.0026886,                   0,             0.99082,             0.99692,             0.99491,             0.81951,            0.014595,           0.0024073,                   0,            0.006293,            0.006293,            0.006293
                 145,            0.014061,           0.0026115,                   0,             0.99082,             0.99692,             0.99491,              0.8192,            0.014469,           0.0023913,                   0,           0.0062512,           0.0062512,           0.0062512
                 146,            0.014096,           0.0026933,                   0,             0.99691,              0.9938,             0.99494,             0.81723,            0.014503,           0.0023865,                   0,           0.0062093,           0.0062093,           0.0062093
                 147,            0.014006,           0.0026444,                   0,             0.99385,             0.99692,             0.99497,             0.81512,            0.014544,           0.0023878,                   0,           0.0061675,           0.0061675,           0.0061675
                 148,            0.013997,           0.0026196,                   0,             0.99386,             0.99691,             0.99494,             0.82237,            0.014455,           0.0023783,                   0,           0.0061256,           0.0061256,           0.0061256
                 149,            0.014042,           0.0026753,                   0,             0.99385,             0.99692,             0.99497,             0.82225,            0.014482,           0.0023901,                   0,           0.0060838,           0.0060838,           0.0060838
                 150,            0.013868,           0.0027253,                   0,                   1,             0.99071,               0.995,             0.81867,            0.014599,            0.002399,                   0,           0.0060419,           0.0060419,           0.0060419
                 151,             0.01366,           0.0025845,                   0,                   1,             0.99069,               0.995,             0.82157,            0.014727,           0.0023947,                   0,               0.006,               0.006,               0.006
                 152,            0.013819,            0.002673,                   0,             0.99994,             0.99077,               0.995,             0.82394,            0.014622,           0.0023703,                   0,           0.0059581,           0.0059581,           0.0059581
                 153,            0.013719,           0.0026109,                   0,             0.99386,             0.99687,               0.995,             0.82376,            0.014687,           0.0023712,                   0,           0.0059162,           0.0059162,           0.0059162
                 154,            0.013709,           0.0025163,                   0,             0.99386,             0.99688,             0.99497,             0.82271,            0.014666,            0.002377,                   0,           0.0058744,           0.0058744,           0.0058744
                 155,            0.013754,           0.0025879,                   0,                   1,              0.9934,               0.995,             0.82382,            0.014633,           0.0023828,                   0,           0.0058325,           0.0058325,           0.0058325
                 156,            0.013882,           0.0025952,                   0,             0.99387,             0.99692,             0.99497,              0.8229,            0.014677,           0.0023944,                   0,           0.0057907,           0.0057907,           0.0057907
                 157,            0.013631,           0.0026228,                   0,             0.99386,             0.99692,             0.99497,             0.82407,             0.01468,           0.0023878,                   0,           0.0057488,           0.0057488,           0.0057488
                 158,            0.013776,           0.0026176,                   0,             0.99386,             0.99692,             0.99488,             0.82422,            0.014689,            0.002393,                   0,            0.005707,            0.005707,            0.005707
                 159,            0.013699,           0.0026114,                   0,             0.99386,             0.99692,             0.99497,             0.82222,            0.014614,            0.002391,                   0,           0.0056653,           0.0056653,           0.0056653
                 160,            0.013518,           0.0025822,                   0,             0.99385,             0.99692,             0.99494,             0.82327,            0.014546,           0.0023806,                   0,           0.0056236,           0.0056236,           0.0056236
                 161,            0.013594,           0.0025224,                   0,             0.99385,             0.99692,             0.99497,             0.82637,            0.014435,           0.0023652,                   0,           0.0055819,           0.0055819,           0.0055819
                 162,            0.013396,           0.0025378,                   0,             0.99386,             0.99692,             0.99497,             0.82792,            0.014379,           0.0023654,                   0,           0.0055403,           0.0055403,           0.0055403
                 163,            0.013363,           0.0026055,                   0,             0.99385,             0.99692,               0.995,             0.82734,             0.01434,           0.0023614,                   0,           0.0054987,           0.0054987,           0.0054987
